heads,d_k,params,train_time,token_acc,seq_acc
1,48,20319,3.7945587635040283,0.9983749985694885,0.9879999756813049
2,24,20319,4.097630500793457,0.996749997138977,0.9760000109672546
4,12,20319,4.200896501541138,0.9984999895095825,0.9879999756813049
8,6,20319,6.682733058929443,0.9762499928474426,0.8349999785423279
