vocab_size,seq_len,d_model,n_layers,n_heads,converged,converged_epoch,training_time,num_params,final_token_acc,final_seq_acc
10,4,16,1,1,False,8,0.2989974021911621,2522,0.6825000047683716,0.1899999976158142
10,4,16,1,4,False,8,0.311293363571167,2522,0.6575000286102295,0.16500000655651093
10,4,16,3,1,False,8,0.6610498428344727,6842,0.8675000071525574,0.5550000071525574
10,4,16,3,4,False,8,0.9160957336425781,6842,0.862500011920929,0.5350000262260437
10,4,64,1,1,False,8,0.32878851890563965,34634,0.8862500190734863,0.5799999833106995
10,4,64,1,4,True,8,0.36896538734436035,34634,0.9524999856948853,0.824999988079071
10,4,64,3,1,True,7,0.703120231628418,101066,0.9524999856948853,0.824999988079071
10,4,64,3,4,True,5,0.5972640514373779,101066,0.956250011920929,0.8349999785423279
10,12,16,1,1,False,8,0.30608582496643066,2522,0.5212500095367432,0.004999999888241291
10,12,16,1,4,False,8,0.3526134490966797,2522,0.5662500262260437,0.0
10,12,16,3,1,False,8,0.6927340030670166,6842,0.7145833373069763,0.0
10,12,16,3,4,False,8,0.8657023906707764,6842,0.7545833587646484,0.029999999329447746
10,12,64,1,1,False,8,0.46322107315063477,34634,0.8695833086967468,0.19499999284744263
10,12,64,1,4,False,8,0.4943413734436035,34634,0.934583306312561,0.4699999988079071
10,12,64,3,1,False,8,1.1988680362701416,101066,0.8933333158493042,0.24500000476837158
10,12,64,3,4,False,8,1.3133022785186768,101066,0.9445833563804626,0.4699999988079071
30,4,16,1,1,False,8,0.2939870357513428,3182,0.3087500035762787,0.014999999664723873
30,4,16,1,4,False,8,0.3248331546783447,3182,0.3487499952316284,0.014999999664723873
30,4,16,3,1,False,8,0.6791808605194092,7502,0.35499998927116394,0.014999999664723873
30,4,16,3,4,False,8,0.7777848243713379,7502,0.33250001072883606,0.004999999888241291
30,4,64,1,1,False,8,0.3339881896972656,37214,0.6700000166893005,0.1899999976158142
30,4,64,1,4,False,8,0.39150452613830566,37214,0.7275000214576721,0.23999999463558197
30,4,64,3,1,False,8,0.804725170135498,103646,0.7512500286102295,0.2800000011920929
30,4,64,3,4,False,8,0.9579341411590576,103646,0.8025000095367432,0.38999998569488525
30,12,16,1,1,False,8,0.29953861236572266,3182,0.15958333015441895,0.0
30,12,16,1,4,False,8,0.36121344566345215,3182,0.18291667103767395,0.0
30,12,16,3,1,False,8,0.6941545009613037,7502,0.2395833283662796,0.0
30,12,16,3,4,False,8,0.8574953079223633,7502,0.2512499988079071,0.0
30,12,64,1,1,False,8,0.45621180534362793,37214,0.4650000035762787,0.0
30,12,64,1,4,False,8,0.48877954483032227,37214,0.5833333134651184,0.0
30,12,64,3,1,False,8,1.1913998126983643,103646,0.6812499761581421,0.0
30,12,64,3,4,False,8,1.2695293426513672,103646,0.6775000095367432,0.009999999776482582
