V,d_model,params,train_time,token_acc,seq_acc
10,16,2522,8.916002035140991,0.9835000038146973,0.8840000033378601
10,32,9130,3.7465436458587646,0.9984999895095825,0.9879999756813049
10,64,34634,4.408241033554077,0.9848750233650208,0.8859999775886536
20,16,2852,3.5881271362304688,0.8827499747276306,0.3700000047683716
20,32,9780,3.7491307258605957,0.9821249842643738,0.878000020980835
20,64,35924,4.490729331970215,0.9902499914169312,0.9359999895095825
30,16,3182,3.495610237121582,0.7749999761581421,0.12600000202655792
30,32,10430,3.737635612487793,0.9390000104904175,0.6330000162124634
30,64,37214,4.44776725769043,0.9613749980926514,0.7620000243186951
